CP CIUDAD
4504 23 DE AGOSTO 
4641 ABDON CASTRO TOLAY 
4650 ABRA DE PEÑAS 
4618 ABRA DE PIVES 
4501 ABRA DEL TRIGO 
4624 ABRA MAYO 
4640 ABRA PAMPA 
4634 ABRALAITE 
4618 ACHACAMAYOC 
4618 AGUA BENDITA 
4641 AGUA CALIENTE DE LA PUNA 
4640 AGUA CHICA 
4640 AGUA DE CASTILLA 
4651 AGUA DE CASTILLA 
4512 AGUA NEGRA 
4618 AGUA PALOMAR 
4501 AGUAS BLANCAS 
4431 AGUAS CALIENTES 
4518 AGUAS CALIENTES 
4506 ALEGRIA 
4624 ALFARCITO 
4600 ALGARROBAL 
4605 ALISOS  DE ABAJO 
4605 ALISOS DE ARRIBA 
4513 ALTO CALILEGUA 
4600 ALTO COMEDERO 
4618 ALTO DE CASA 
4618 ALTO DE LOZANO 
4618 ALTO DE MOJON 
4618 ALTO DEL ANGOSTO 
4500 ALTO DEL SALADILLO 
4522 ALTO DEL SALADILLO 
4618 ALTO HUANCAR 
4618 ALTO MINERO 
4618 ALTO POTRERILLO 
4618 ALTO QUEMADO 
4618 ALTO QUIRQUINCHO 
4608 ALTO VERDE 
4513 AMANCAYOC 
4513 AMARGURAS 
4626 ANGOSTO DEL PERCHEL 
4512 ANIMAS 
4631 ANTIGUO 
4643 ANTIGUYOS 
4632 ANTUMPA 
4512 APAREJO 
4630 APARZO 
4643 ARBOLITO NUEVO 
4506 ARENAL BARROSO 
4503 ARRAYANAL 
4501 ARROYO COLORADO 
4501 ARROYO DEL MEDIO 
4600 ATALAYA 
4631 AZUL PAMPA 
4506 BAJADA ALTA 
4630 BALIAZO 
4630 BALLIAZO 
4616 BARCENA 
4641 BARRANCAS 
4600 BARRIO 9 DE JULIO 
4600 BARRIO ALBERDI 
4600 BARRIO ALTO LA LOMA 
4600 BARRIO ALTO LA VIÑA 
4600 BARRIO BAJO LA VIÑA 
4600 BARRIO CHIJRA 
4600 BARRIO CUYAYA 
4500 BARRIO LA PROVIDENCIA 
4648 BARRIO LA UNION 
4600 BARRIO LUJAN 
4600 BARRIO PARQUE 19 DE ABRIL 
4600 BARRIO SANTA RITA 
4650 BARRIOS 
4522 BARRO NEGRO 
4512 BATEAS 
4501 BELLA VISTA 
4512 BELLA VISTA 
4622 BELLA VISTA 
4618 BOLETERIA 
4616 BOMBA 
4608 BORDO LA ISLA 
4655 CABRERIA 
4501 CACHI PUNCO 
4622 CACHIHUAICO 
4513 CACHO 
4608 CADILLA 
4516 CAIMANCITO 
4651 CAJAS 
4655 CALAHOYO 
4630 CALETE 
4514 CALILEGUA 
4512 CAMPO BAJO 
4512 CAMPO COLORADO 
4608 CAMPO LA TUNA 
4618 CAMPO OCULTO 
4624 CAÑAS 
4618 CANCHAHUASI 
4655 CANCHUELA 
4512 CANDELARIA 
4644 CANGREJILLOS 
4644 CANGREJOS 
4618 CAPACHACRA 
4626 CAPLA 
4644 CARACARA 
4643 CARAHUASI 
4612 CARAHUNCO 
4651 CARAYOC 
4618 CARCEL 
4643 CASA COLORADA 
4634 CASA GRANDE 
4618 CASA NEGRA 
4618 CASA VIEJA 
4641 CASABINDO 
4632 CASAYOCK 
4632 CASILLA 
4632 CASILLAS 
4653 CASIRA 
4631 CASPALA 
4651 CASTI 
4603 CATAMONTAÑA 
4640 CATARI 
4413 CATUA 
4641 CAUCHARI 
4605 CEIBAL 
4612 CENTRO FORESTAL 
4653 CERRILLOS 
4653 CERRITO 
4641 CERRO AGUA CALIENTE 
4640 CERRO CHICO 
4605 CERRO NEGRO 
4643 CERRO REDONDO 
4612 CERROS ZAPLA 
4512 CEVILAR 
4504 CHALICAN 
4608 CHAMICAL 
4516 CHAÑAR SOLO 
4516 CHAÑARAL 
4618 CHAÑARCITO 
4616 CHAÑI 
4618 CHAÑI CHICO 
4632 CHAUPI RODERO 
4640 CHAUPI RODERO 
4618 CHILCAR 
4631 CHILCAR 
4616 CHILCAYOC 
4644 CHOCOITE 
4631 CHORCAN 
4640 CHOROJRA 
4618 CHORRILLO 
4626 CHORRILLOS 
4630 CHORRILLOS 
4513 CHORRO 
4626 CHUCALEZNA 
4603 CHUCUPAL 
4640 CHULIN O INCA NUEVA 
4600 CHUQUINA 
4630 CIANZO 
4512 CIENAGA 
4643 CIENAGA GRANDE 
4643 CIENEGO GRANDE 
4653 CIENEGUILLAS 
4643 CINCEL 
4640 COCHAGATE 
4641 COCHINOCA 
4631 COCTACA 
4618 COIRURO 
4512 COLONIA 8 DE SEPTIEMBRE 
4606 COLONIA LOS LAPACHOS 
4618 COLORADOS 
4618 CONDOR 
4630 CONDOR 
4643 CORANZULI 
4630 CORAYA 
4608 CORONEL ARIAS 
4655 CORRAL BLANCO 
4601 CORRAL DE PIEDRAS 
4650 CORRALITO 
4512 CORTADERAS 
4618 CORTADERAS 
4631 CORTADERAS 
4618 COSTILLAR 
4643 COYAGUAIMA 
4618 CRUZ NIDO 
4643 CUSI CUSI 
4631 DOGLONZO 
4512 DON JORGE 
4641 DONCELLAS 
4512 DURAZNAL 
4500 EL ACHERAL 
4634 EL AGUILAR 
4512 EL AIBAL 
4600 EL ALGARROBAL 
4612 EL ALGARROBAL 
4600 EL AMANCAY 
4655 EL ANGOSTO 
4500 EL ARENAL 
4601 EL ARENAL 
4512 EL BANANAL 
4612 EL BRETE 
4608 EL CABRAL 
4608 EL CADILLAL 
4622 EL CALLEJON 
4506 EL CARDONAL 
4603 EL CARMEN 
4512 EL CAULARIO 
4500 EL CHAGUARAL 
4618 EL COLORADO 
4644 EL CONDOR 
4600 EL CUCHO 
4612 EL CUCHO 
4624 EL DURAZNO 
4501 EL FUERTE 
4512 EL MANANTIAL 
4501 EL MISTOL 
4618 EL MOLINO 
4608 EL MOLLAR 
4650 EL MONUMENTO 
4618 EL MORENO 
4618 EL MORRO 
4512 EL NARANJO 
4603 EL OLLERO 
4605 EL OLLERO 
4501 EL OLVIDO 
4501 EL PALMAR 
4542 EL PALMAR DE SAN FRANCISCO 
4624 EL PERCHEL 
4501 EL PIQUETE 
4608 EL PONGO 
4641 EL PORVENIR 
4641 EL POTRERO DE LA PUNA 
4504 EL QUEMADO 
4612 EL REMATE 
4612 EL REMATE 
4504 EL RIO NEGRO 
4500 EL SALADILLO 
4512 EL SAUCE 
4501 EL SUNCHAL 
4603 EL SUNCHAL 
4542 EL TALAR 
4501 EL TIPAL 
4606 EL TOBA 
4643 EL TORO 
4618 ENCRUCIJADA 
4500 ENSENADA 
4608 ENTRE RIOS 
4644 ESCAYA 
4512 ESQUINA 
4618 ESQUINA DE HUANCAR 
4500 ESQUINA DE QUISTO 
4618 ESQUINA GRANDE 
4634 ESQUINAS BLANCAS 
4608 ESTACION PERICO 
4640 ESTACION ZOOTECNICA 
4618 ESTANCIA GRANDE 
4512 FALDA DEL QUEBRACHAL 
4512 FALDA MOJON 
4512 FALDA MONTOSA 
4643 FARILLON 
4516 FINCA AGUA SALADA 
4516 FINCA AGUA TAPADA 
4516 FINCA LA LUCRECIA 
4516 FINCA LA REALIDAD 
4504 FINCA LEACH 
4516 FINCA SANTA CORNELIA 
4512 FLORENCIA 
4506 FRAILE PINTADO 
4513 FUNDICIONES 
4630 GALETA 
4612 GENERAL MANUEL SAVIO 
4501 GOBERNADOR OVEJERO 
4513 GOBERNADOR TELLO 
4643 GRANADAS 
4512 GUACHAN 
4506 GUAYACAN 
4643 GUAYATAYOC 
4653 GUAYATAYOC 
4640 GUEMES 
4600 GUERRERO 
4512 HIGUERITAS 
4618 HIGUERITAS 
4632 HIPOLITO YRIGOYEN EST ITURBE 
4630 HORNADITAS 
4608 HORNILLOS 
4653 HORNILLOS 
4626 HUACALERA 
4618 HUACHICHOCANA 
4601 HUAICO CHICO 
4653 HUALLATAYOC 
4618 HUANCAR 
4641 HUANCAR 
4624 HUICHAIRA 
4630 HUMAHUACA 
4618 INCA HUASI 
4503 INGENIO LA ESPERANZA 
4542 INGENIO LA ESPERANZA 
4512 INGENIO LEDESMA 
4651 INTICANCHO 
4608 IRIARTE 
4501 ISLA CHICA 
4501 ISLA GRANDE 
4601 ITUAICOCHICO 
4632 ITURBE 
4504 JARAMILLO 
4600 JUAN GALAN 
4612 JUAN MANUEL DE ROSAS 
4624 JUELLA 
4608 KILOMETRO 1129 
4616 KILOMETRO 1183 
4630 KILOMETRO 1289 
4634 KILOMETRO 1321 
