CP CIUDAD
3263 1 DE MAYO 
3158 20 DE SEPTIEMBRE 
3246 ACHIRAS 
2823 AERO CLUB CANAL 
2852 ALARCON 
2840 ALBARDON 
3183 ALBARIÑO 
3170 ALBERTO GERCHUNOFF 
3142 ALCARACITO 
3144 ALCARAZ 1RO 
3138 ALCARAZ 2DO 
3136 ALCARAZ NORTE 
3137 ALCARAZ SUD 
3127 ALCETE 
2841 ALDEA ASUNCION 
3101 ALDEA BRASILERA 
3116 ALDEA CHALECO 
3116 ALDEA CUESTA 
3116 ALDEA EIGENFELD 
3114 ALDEA MARIA LUISA 
3101 ALDEA PROTESTANTE 
3101 ALDEA SALTO 
2826 ALDEA SAN ANTONIO 
3117 ALDEA SAN ANTONIO 
3101 ALDEA SAN FRANCISCO 
3287 ALDEA SAN GREGORIO 
3252 ALDEA SAN JORGE 
3116 ALDEA SAN JOSE 
2826 ALDEA SAN JUAN 
3116 ALDEA SAN MIGUEL 
3116 ALDEA SAN RAFAEL 
2826 ALDEA SANTA CELIA 
3123 ALDEA SANTA MARIA 
3123 ALDEA SANTA MARIA 
3116 ALDEA SANTA ROSA 
3103 ALDEA SANTAFECINA 
3101 ALDEA SPATZENKUTTER 
3101 ALDEA VALLE MARIA 
3150 ALGARROBITOS 1RO 
3111 ALMACEN CRISTIAN SCHUBERT 
3150 ALMIRANTE IGLESIAS 
3177 ALTAMIRANO NORTE 
3174 ALTAMIRANO SUD 
2846 ANAHI 
3151 ANTELO 
3125 ANTONIO TOMAS 
3134 ANTONIO TOMAS SUD 
3162 ARANGUREN 
3269 ARROYO BARU 
2805 ARROYO BRASILERO 
2823 ARROYO BUEN PASTOR 
3133 ARROYO BURGOS 
2823 ARROYO CABALLO 
3265 ARROYO CARABALLO 
3191 ARROYO CEIBO 
2841 ARROYO CLE 
3287 ARROYO CONCEPCION 
3122 ARROYO CORRALITO 
2821 ARROYO DEL CURA 
3144 ARROYO DEL MEDIO 
3212 ARROYO EL MOCHO 
3203 ARROYO GRANDE 
3190 ARROYO HONDO 
3216 ARROYO HONDO 
2805 ARROYO IBICUYCITO 
3101 ARROYO JACINTO 
2805 ARROYO LA PACIENCIA 
3212 ARROYO LA VIRGEN 
3111 ARROYO LAS TUNAS 
2805 ARROYO LOS PLATOS 
3133 ARROYO MARIA 
3133 ARROYO MATURRANGO 
3260 ARROYO MOLINO 
3181 ARROYO MOREIRA 
3174 ARROYO OBISPO 
3218 ARROYO PALMAR 
3133 ARROYO PALO SECO 
3111 ARROYO PANCHO 
2823 ARROYO PRINCIPAL 
2823 ARROYO SALADO 
2823 ARROYO SANCHEZ CHICO 
2823 ARROYO SANCHEZ GRANDE 
3280 ARROYO URQUIZA 
2821 ARROYO VENERATO 
2823 ARROYO ZAPALLO 
3187 ATENCIO 
3100 AVENIDA EJERCITO PARANA 
3204 AYUI PARADA 
3100 BAJADA GRANDE 
3260 BALNEARIO PELAY 
3100 BAÑADERO OFICIAL BURGOS 
3137 BAÑADERO OFICIAL LAS GALARZAS 
3190 BANDERAS 
3246 BARON HIRSCH 
3133 BARRANCAS COLORADAS 
3170 BASAVILBASO 
3252 BELEZ 
3206 BELLA UNION PARAJE 
3216 BENITEZ 
3203 BENITO LEGEREN 
3285 BERDUC 
2848 BERISSO 
2852 BERISSO DESVIO FCGU 
3156 BETBEDER 
3206 BIZCOCHO 
3150 BOCA DEL TIGRE 
3116 BOCA DEL TIGRE APEADERO FCGU 
2840 BOCA GUALEGUAY 
3191 BONALDI 
3142 BOVRIL 
1647 BRAZO LARGO 
2824 BRITOS 
2840 BUENA VISTA PARAJE 
3228 CABI MONDA 
3203 CALABACILLAS 
3191 CALANDRIA 
3281 CALERA 
3201 CAMBA PASO 
3100 CAMINO A DIAMANTE KM 1 
3241 CAMPO DE VILLAMIL 
3212 CAMPO DOMINGUEZ 
3156 CAMPO ESCALES 
3252 CAMPO MORENO 
3101 CAMPO RIQUELME 
3150 CAMPS 
3267 CAÑADA DE LAS OVEJAS 
3228 CAÑADA DEL CERRO 
3111 CAÑADA GRANDE 
2823 CANAL PRINCIPAL 
3287 CANTERA LA CONSTANCIA 
3248 CARAGUATA 
3183 CARPINCHORIS 
3101 CARRIZAL 
3262 CASEROS 
3187 CATALOTTI 
2823 CEIBAL 
2823 CEIBAS 
3261 CENTELLA 
3263 CENTENARIO LA PAZ 
3190 CENTENARIO PARANA 
3118 CENTRO COMUNITARIO CNIA NUE 
3122 CERRITO 
2840 CHACRAS 
3228 CHAJARI 
3181 CHAÑAR 
3187 CHAÑAR FELICIANO 
3111 CHAÑAR MARIA GRANDE PRIMERA 
3204 CHAVIYU COLONIA FLORES 
3206 CHAVIYU PARADA FCGU 
3162 CHILCAS 
3158 CHIQUEROS 
3187 CHIRCALITO 
3252 CLARA 
3203 CLODOMIRO LEDESMA 
3212 CNIA JUSTO JOSE DE URQUIZA 
3103 COLEGIO ADVENTISTA DEL PLATA 
3280 COLON 
3265 COLONIA 1 DE MAYO 
3272 COLONIA 1 DE MAYO 
3281 COLONIA 5 ENSANCHE DE MAYO 
3246 COLONIA ACHIRAS 
3201 COLONIA ADELA 
3142 COLONIA ADIVINOS 
3138 COLONIA ALCARCITO 
3228 COLONIA ALEMANA 
3156 COLONIA ALGARRABITOS 
3269 COLONIA AMBIS 
3151 COLONIA ANGELA 
3118 COLONIA ARGENTINA 
3281 COLONIA ARROYO URQUIZA 
3107 COLONIA AVELLANEDA 
3142 COLONIA AVIGDOR 
3228 COLONIA AYLMAN 
3201 COLONIA AYUI 
3246 COLONIA BARON HIRSCH 
3269 COLONIA BAYLINA 
3252 COLONIA BELEZ 
3244 COLONIA BELGA AMERICANA 
3228 COLONIA BELGRANO 
3128 COLONIA BERRO 
3192 COLONIA BERTOZZI 
3206 COLONIA BIZCOCHO 
3190 COLONIA BUENA VISTA 
3216 COLONIA CAMPOS 
3265 COLONIA CARABALLO 
3252 COLONIA CARLOS CALVO 
3246 COLONIA CARMEL 
3263 COLONIA CARMELO 
3190 COLONIA CARRASCO 
3113 COLONIA CELINA 
3109 COLONIA CENTENARIO 
3118 COLONIA CRESPO 
3263 COLONIA CRUCESITAS 
3261 COLONIA CUPALEN 
3216 COLONIA CURBELO 
2805 COLONIA DELTA 
3204 COLONIA DON BOSCO 
2845 COLONIA DUPORTAL 
3240 COLONIA EGIDO 
3267 COLONIA EL CARMEN 
2820 COLONIA EL POTRERO 
3261 COLONIA ELIA 
3260 COLONIA ELISA 
3265 COLONIA ELISA 
3269 COLONIA EMILIO GOUCHON 
3263 COLONIA ENSANCHE MAYO 
3208 COLONIA ENSANCHE SAUCE 
3101 COLONIA ENSAYO 
3252 COLONIA ESPINDOLA 
3269 COLONIA F SILLEN 
3188 COLONIA FALCO 
3252 COLONIA FEIMBERG 
