CP CIUDAD
9303 RIO CHICO 
9040 RIO FENIX 
9400 RIO GALLEGOS 
9405 RIO MITRE 
9407 RIO TURBIO 
9407 ROSPENTEK 
9407 ROSPENTEK AIKE 
9400 SAN BENITO 
9051 SARAI 
9303 SIERRA DE LA VENTANA 
9315 TAMEL AIKE 
9420 TAPI AIKE 
9303 TAUEL AIKE 
9019 TEHUELCHES 
9050 TELLIER 
9050 TRES CERROS 
9301 TRES LAGOS 
9051 TRES PUNTAS 
9311 TUCU TUCU 
9405 VENTISQUERO MORENO 
9310 YACIMIENTO CERRO VANGUARDIA 
9017 YEGUA MUERTA 
9015 ZANJON DEL PESCADO 
