CP CIUDAD
4234 ACHALCO 
5260 ACHERAL 
4743 ACONQUIJA 
4701 ACOSTILLA 
5263 ADOLFO E CARRANZA 
4139 AGUA AMARILLA LA HOYADA 
4139 AGUA AMARILLA PTA DE BALASTO 
4724 AGUA COLORADA 
4750 AGUA COLORADA 
4751 AGUA DE DIONISIO 
4741 AGUA DE LAS PALOMAS 
4750 AGUA DEL CAMPO 
5261 AGUA DEL SIMBOL 
5260 AGUA ESCONDIDA 
5340 AGUA GRANDE 
5265 AGUA LOS MATOS 
4740 AGUA SALADA 
4715 AGUA VERDE 
4740 AGUA VERDE 
5340 AGUADA 
4705 AGUADITA 
4751 AGUAS CALIENTES 
4231 ALBIGASTA 
4235 ALBIGASTA 
4740 ALGARROBAL 
4723 ALIJILAN 
4723 ALMIGAUCHO 
4723 ALTA GRACIA 
5261 ALTO BELLO 
4743 ALTO DE LA JUNTA 
5261 ALTO DEL ROSARIO 
4751 ALTO EL BOLSON 
4716 AMADORES 
4701 AMANA 
4741 AMANAO 
4723 AMANCALA 
4711 AMBATO 
4139 AMPAJANGO 
4723 AMPOLLA 
4750 AMPUJACO 
4701 ANCASTI 
4231 ANCASTILLO 
5340 ANCHOCA 
4740 ANDALGALA 
4139 ANDALHUALA 
5331 ANDALUCIA 
5264 ANGELINA 
4750 ANGOSTURA 
5341 ANILLACO 
4231 ANJULI 
4701 ANQUINCILA 
4705 ANTAPOCA 
5341 ANTINACO 
4705 ANTOFAGASTA DE LA SIERRA 
5340 APOCANGO 
5317 APOYACO 
4740 ARIMA 
4751 ASAMPAY 
4740 ASERRADERO EL PILCIO 
4234 AYAPASO 
4719 BALCOSNA 
4719 BALCOSNA DE AFUERA 
5260 BALDE 
5263 BALDE LA PUNTA 
5263 BALDE NUEVO 
4705 BALSA 
5340 BALUNGASTA 
5261 BAÑADO DE DIVISADERO 
4723 BAÑADO DE OVANTA 
4139 BANDA 
5333 BANDA DE LUCERO 
4700 BANDA VARELA 
5345 BAÑOS TERMALES 
4751 BARRANCA LARGA 
4235 BARRANQUITAS 
4718 BARRO NEGRO 
4718 BASTIDOR 
5265 BAVIANO 
4235 BEBIDA 
4750 BELEN 
4235 BELLA VISTA 
4715 BELLA VISTA 
4715 BISCOTAL 
5265 BREA 
4230 BREA CHIMPANA 
5260 BUEN RETIRO 
4743 BUENA VISTA 
5263 BUENA VISTA 
4139 BUEY MUERTO 
5260 BUEY MUERTO 
5261 CABALLA 
4701 CABRERA 
4723 CACHI 
4751 CACHIJAN 
4750 CACHUAN 
4701 CALACIO 
4701 CALERA 
5315 CALERA LA NORMA 
4139 CAMPITOS 
5260 CAMPO BELLO 
5260 CAMPO BLANCO 
5264 CAÑADA 
4701 CAÑADA DE IPIZCA 
4701 CAÑADA DE PAEZ 
5265 CAÑADA LARGA 
4231 CANDELARIA 
4701 CANDELARIA 
5340 CANTERA ROTA 
4726 CAPAYAN 
4741 CARAPUNCO 
4723 CARIDAD 
4751 CARRIZAL 
5333 CARRIZAL 
4751 CARRIZAL DE ABAJO 
4751 CARRIZAL DE LA COSTA 
4701 CASA ARMADA 
5340 CASA DE ALTO 
5261 CASA DE LA CUMBRE 
4139 CASA DE PIEDRA 
4741 CASA DE PIEDRA 
4750 CASA GRANDE 
5340 CASA GRANDE 
4701 CASA VIEJA 
4711 CASA VIEJAS 
4139 CASPINCHANGO 
5340 CASTAÑAR 
5260 CATITA 
5340 CERDAS 
5264 CERRILLADA 
4139 CERRILLOS 
4139 CERRILLOS 
